route_id,service_id,trip_id,trip_headsign,shape_id
V10-190-197,2711,4357186,Natzaret,74
V10-197-190,2711,4357280,Alacant,73
V10-190-197,2711,4357187,Natzaret,74
V10-197-190,2711,4357281,Alacant,73
V10-190-197,2711,4357188,Natzaret,74
V10-197-190,2711,4357282,Alacant,73
V10-190-197,2711,4357189,Natzaret,74
V10-197-190,2711,4357283,Alacant,73
V10-190-197,2711,4357190,Natzaret,74
V1-20-29,2711,4356395,Empalme,48
V10-197-190,2711,4357284,Alacant,73
V10-190-197,2711,4357191,Natzaret,74
V10-197-190,2711,4357285,Alacant,73
V10-190-197,2711,4357192,Natzaret,74
V10-197-190,2711,4357286,Alacant,73
V10-190-197,2711,4357193,Natzaret,74
V10-197-190,2711,4357287,Alacant,73
V10-190-194,2711,4357194,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357288,Alacant,73
V10-190-197,2711,4357195,Natzaret,74
V1-29-1,2711,4356078,Castelló,2
V10-197-190,2711,4357289,Alacant,73
V10-190-194,2711,4357196,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357290,Alacant,73
V10-190-197,2711,4357197,Natzaret,74
V10-197-190,2711,4357291,Alacant,73
V10-190-194,2711,4357198,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357292,Alacant,73
V10-190-197,2711,4357199,Natzaret,74
V10-197-190,2711,4357293,Alacant,73
V10-190-194,2711,4357200,Ciutat Arts i Ciències - Justícia,74
V1-20-29,2711,4356396,Empalme,48
V10-194-190,2711,4357294,Alacant,73
V10-190-197,2711,4357201,Natzaret,74
V10-197-190,2711,4357295,Alacant,73
V10-190-194,2711,4357202,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357296,Alacant,73
V10-190-197,2711,4357203,Natzaret,74
V10-197-190,2711,4357297,Alacant,73
V10-190-194,2711,4357204,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357298,Alacant,73
V10-190-197,2711,4357205,Natzaret,74
V10-197-190,2711,4357299,Alacant,73
V10-190-194,2711,4357206,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357300,Alacant,73
V10-190-197,2711,4357207,Natzaret,74
V10-197-190,2711,4357301,Alacant,73
V10-190-194,2711,4357208,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2711,4357302,Alacant,73
V10-190-197,2711,4357209,Natzaret,74
V10-197-190,2711,4357303,Alacant,73
V10-190-194,2711,4357210,Ciutat Arts i Ciències - Justícia,74
V1-20-36,2711,4356397,Seminari - CEU,48
V10-194-190,2711,4357304,Alacant,73
V10-190-197,2711,4357211,Natzaret,74
V10-197-190,2711,4357305,Alacant,73
V10-190-194,2711,4357212,Ciutat Arts i Ciències - Justícia,74
